categoria,pregunta,respuesta_modelo,gold_dato,gold_fuente,correcto
factual,¿Cuál es la nota mínima para aprobar una asignatura en la Facultad de Ingeniería?,La nota mínima para aprobar una asignatura en la Facultad de Ingeniería de la Universidad de Concepción es **4.0** (Art. 8).,"4,0","Art. 11, RI-FI",no
factual,¿Cuántas evaluaciones sumativas como mínimo debe tener una asignatura?,"La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no especifica un número mínimo de evaluaciones sumativas que debe tener una asignatura. Por lo tanto, esta información no está en la normativa.",al menos 3 (tres),"Art. 11, RI-FI",no
factual,¿A cuántas evaluaciones de recuperación tiene derecho el estudiante por asignatura?,"La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no especifica el número exacto de evaluaciones de recuperación que tiene derecho el estudiante por asignatura. Por lo tanto, **no está en la normativa**.",una (1),"Art. 12, RI-FI",no
factual,¿En qué escala se expresa la nota final de una asignatura?,"La nota final de una asignatura se expresa en una escala de 0 a 7, según el **Art. 10** de la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.","escala oficial de 1 a 7, con un decimal","Art. 23, RG",no
factual,¿Cuál es la actividad final de titulación en las carreras de Ingeniería?,La actividad final de titulación en las carreras de Ingeniería es la **Tesis de Grado** (Art. 10).,la Memoria de Título,"Art. 29, RI-FI",no
factual,¿Con cuánta anticipación mínima deben comunicarse las evaluaciones a los estudiantes?,"La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no establece específicamente la cantidad de anticipación mínima con la que deben comunicarse las evaluaciones a los estudiantes. Por lo tanto, **no está en la normativa**.",al menos una semana,"Art. 10, RI-FI",no
factual,¿Quién resuelve en primera instancia una solicitud de continuación de estudios?,La solicitud de continuación de estudios se resuelve en primera instancia por el **director de carrera** (Art. 12).,el Comité de Docencia y Asuntos Estudiantiles,"Art. 16, RI-FI",no
factual,¿La renuncia a la carrera es revocable?,La renuncia a la carrera no es revocable según el Art. 12 de la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.,"No, es irrevocable","Art. 26, RI-FI",no
factual,¿Cuántos períodos lectivos ordinarios tiene el año académico y cuánto duran?,"El año académico tiene **dos períodos lectivos ordinarios**, cada uno de **cuatro meses**.  
Art. 10.","dos, de 19 semanas cada uno","Art. 16, RG",no
factual,¿Los estudiantes de Primer Año Común pueden convalidar asignaturas?,"Sí, los estudiantes de Primer Año Común pueden convalidar asignaturas, según el **Art. 12** de la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.",No,"Art. 22, RI-FI",no
