id,categoria,pregunta,gold_dato,gold_fuente,prediccion_baseline
1,factual,¿Cuál es la nota mínima para aprobar una asignatura en la Facultad de Ingeniería?,"4,0","Art. 11, RI-FI",No está especificado en la normativa qué nota mínima es la mínima para aprobar una asignatura en la Facultad de Ingeniería de la Universidad de Concepción.
2,factual,¿Cuántas evaluaciones sumativas como mínimo debe tener una asignatura?,al menos 3 (tres),"Art. 11, RI-FI",No está especificado en la normativa que cuántas evaluaciones sumativas debe tener una asignatura.
3,factual,¿A cuántas evaluaciones de recuperación tiene derecho el estudiante por asignatura?,una (1),"Art. 12, RI-FI","El estudiante tiene derecho a una evaluación de recuperación por asignatura. No especifica la normativa concreta, pero se puede encontrar información relevante en el Reglamento Académico de la Universidad de Concepción, que generalmente establecerá claramente este derecho. No hay un artículo específico directo mencionado en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción que precise esta cantidad con precisión."
4,factual,¿En qué escala se expresa la nota final de una asignatura?,"escala oficial de 1 a 7, con un decimal","Art. 23, RG",La nota final de una asignatura se expresa en escala de 0 a 100 según el artículo 34 del Reglamento Académico de la Universidad de Concepción.
5,factual,¿Cuál es la actividad final de titulación en las carreras de Ingeniería?,la Memoria de Título,"Art. 29, RI-FI","La actividad final de titulación en las carreras de Ingeniería de la Universidad de Concepción se realiza mediante la realización de un Trabajo Final de Carrera (TFC) o un Trabajo de Fin de Grado (TFG), según el programa de la carrera. No existe un artículo específico que defina esta actividad final de titulación de manera directa, pero se considera fundamental para culminar la titulación en Ingeniería."
6,factual,¿Con cuánta anticipación mínima deben comunicarse las evaluaciones a los estudiantes?,al menos una semana,"Art. 10, RI-FI",No está especificado en la normativa mencionada qué cantidad de anticipación mínima deben comunicarse las evaluaciones a los estudiantes.
7,factual,¿Quién resuelve en primera instancia una solicitud de continuación de estudios?,el Comité de Docencia y Asuntos Estudiantiles,"Art. 16, RI-FI",Art. 14
8,factual,¿La renuncia a la carrera es revocable?,"No, es irrevocable","Art. 26, RI-FI",No está especificado en la normativa estudiada si la renuncia a la carrera es revocable o no. Art. ______
9,factual,¿Cuántos períodos lectivos ordinarios tiene el año académico y cuánto duran?,"dos, de 19 semanas cada uno","Art. 16, RG","El año académico de la Universidad de Concepción consta de 2 períodos lectivos ordinarios. Cada período lectivo dura 15 semanas. No se indica en qué duran exactamente las semanas, pero se considera que son semanas completas como mínimo. Consulta el Reglamento Académico para detalles más precisos, tal vez en el Art. 14."
10,factual,¿Los estudiantes de Primer Año Común pueden convalidar asignaturas?,No,"Art. 22, RI-FI",No está especificado en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción si los estudiantes de Primer Año Común pueden convalidar asignaturas.
