categoria,pregunta,respuesta_modelo,gold_dato,gold_fuente
factual,¿Cuál es la nota mínima para aprobar una asignatura en la Facultad de Ingeniería?,"La nota mínima para aprobar una asignatura es 4,0. Esto se establece en el **Art. 10** de la Normativa de Pregrado de la Facultad de Ingeniería de la Universidad de Concepción.","4,0","Art. 11, RI-FI"
factual,¿Cuántas evaluaciones sumativas como mínimo debe tener una asignatura?,"La normativa no establece un mínimo de evaluaciones sumativas para una asignatura. **Art. 12** indica que las evaluaciones deben ser suficientes para verificar el logro de los aprendizajes, pero no fija un número mínimo.",al menos 3 (tres),"Art. 11, RI-FI"
factual,¿A cuántas evaluaciones de recuperación tiene derecho el estudiante por asignatura?,"El estudiante tiene derecho a una evaluación de recuperación por asignatura, según el **Art. 12** de la normativa de pregrado.",una (1),"Art. 12, RI-FI"
factual,¿En qué escala se expresa la nota final de una asignatura?,"La nota final de una asignatura se expresa en escala de 1 a 7, con decimales de 0,5, según el **Art. 10** de la Normativa de Pregrado.","escala oficial de 1 a 7, con un decimal","Art. 23, RG"
factual,¿Cuál es la actividad final de titulación en las carreras de Ingeniería?,"La actividad final de titulación en las carreras de Ingeniería es la **Tesis de Graduación**, que debe ser presentada y defendida ante un tribunal calificador, según el **Art. 12** de la Normativa de Pregrado de la Facultad de Ingeniería.",la Memoria de Título,"Art. 29, RI-FI"
factual,¿Con cuánta anticipación mínima deben comunicarse las evaluaciones a los estudiantes?,La normativa no establece un plazo mínimo de anticipación para comunicar las evaluaciones a los estudiantes. Art. 12.,al menos una semana,"Art. 10, RI-FI"
factual,¿Quién resuelve en primera instancia una solicitud de continuación de estudios?,"El órgano que resuelve en primera instancia una solicitud de continuación de estudios es el **Decano de la Facultad**. 

Art. 12.",el Comité de Docencia y Asuntos Estudiantiles,"Art. 16, RI-FI"
factual,¿La renuncia a la carrera es revocable?,"No, la renuncia a la carrera no es revocable. Según el **Art. 10** de la Normativa de Pregrado, la renuncia a la carrera implica la pérdida definitiva del derecho a continuar estudiando en dicha carrera.","No, es irrevocable","Art. 26, RI-FI"
factual,¿Cuántos períodos lectivos ordinarios tiene el año académico y cuánto duran?,"El año académico tiene dos períodos lectivos ordinarios, cada uno de 16 semanas de duración. 

Art. 10.","dos, de 19 semanas cada uno","Art. 16, RG"
factual,¿Los estudiantes de Primer Año Común pueden convalidar asignaturas?,"No, los estudiantes de Primer Año Común no pueden convalidar asignaturas. Esto se establece en el **Art. 10** de la Normativa de Pregrado, que establece que el Primer Año Común es un año de formación básica y no se permite la convalidación de asignaturas en este nivel.",No,"Art. 22, RI-FI"
numerica,¿Cuál es el mínimo de créditos que debo inscribir por período lectivo ordinario en Ingeniería?,"El mínimo de créditos que debes inscribir por período lectivo ordinario en Ingeniería es de **18 créditos**, según el **Art. 10** de la Normativa de Pregrado de la Facultad de Ingeniería de la Universidad de Concepción.",8 créditos (igual o superior a 8),"Art. 8, RI-FI"
numerica,¿Con menos de cuántos créditos aprobados al término del segundo semestre quedo en baja académica?,"Al término del segundo semestre, el estudiante queda en baja académica si ha aprobado menos de **12 créditos**. 

Art. 10.",menos de 15 créditos,"Art. 14 a), RI-FI"
numerica,¿Bajo qué promedio de créditos aprobados por semestre (desde el 4º) se cae en baja académica?,"Se cae en baja académica cuando el promedio de créditos aprobados por semestre (desde el 4º) es menor a 18 créditos. 

Art. 10.",inferior a 10 créditos semestrales,"Art. 14 b), RI-FI"
numerica,¿Cuál es la asistencia mínima máxima que un profesor puede exigir en clases teóricas y prácticas?,"La asistencia mínima máxima que un profesor puede exigir en clases teóricas y prácticas es del **50%**.  

Art. 12 de la Normativa de Pregrado de la Facultad de Ingeniería de la Universidad de Concepción.",80%,"Art. 13, RI-FI"
numerica,¿Qué calificación mínima se exige para convalidar una asignatura?,"La calificación mínima exigida para convalidar una asignatura es de **4,0** (cuatro puntos). 

**Art. 12** de la Normativa de Pregrado de la Facultad de Ingeniería de la Universidad de Concepción.","4,5","Art. 21, RI-FI"
