id,categoria,pregunta,gold_dato,gold_fuente,prediccion_rag,latencia_seg
1,factual,¿Cuál es la nota mínima para aprobar una asignatura en la Facultad de Ingeniería?,"4,0","Art. 11, RI-FI","DATO: 4,0
CITA: [Art. 11°, RI-FI]",4.33
2,factual,¿Cuántas evaluaciones sumativas como mínimo debe tener una asignatura?,al menos 3 (tres),"Art. 11, RI-FI","DATO: 3
CITA: [Art. 11°, RI-FI]",4.02
3,factual,¿A cuántas evaluaciones de recuperación tiene derecho el estudiante por asignatura?,una (1),"Art. 12, RI-FI","DATO: No está en la normativa
CITA: Ninguna",4.13
4,factual,¿En qué escala se expresa la nota final de una asignatura?,"escala oficial de 1 a 7, con un decimal","Art. 23, RG","DATO: Escala numérica oficial de 1 a 7 hasta con un decimal de aproximación.
CITA: [Art. 23, RG]",5.3
5,factual,¿Cuál es la actividad final de titulación en las carreras de Ingeniería?,la Memoria de Título,"Art. 29, RI-FI","DATO: Memoria de Título
CITA: [Art. 29°, RI-FI]",4.49
6,factual,¿Con cuánta anticipación mínima deben comunicarse las evaluaciones a los estudiantes?,al menos una semana,"Art. 10, RI-FI","DATO: Una semana
CITA: [Art. 10°, RI-FI]",4.75
7,factual,¿Quién resuelve en primera instancia una solicitud de continuación de estudios?,el Comité de Docencia y Asuntos Estudiantiles,"Art. 16, RI-FI","DATO: Comité de Docencia y Asuntos Estudiantiles
CITA: [Art. 16°, RI-FI]",4.93
8,factual,¿La renuncia a la carrera es revocable?,"No, es irrevocable","Art. 26, RI-FI","DATO: No
CITA: [Art. 26°, RI-FI]",3.98
9,factual,¿Cuántos períodos lectivos ordinarios tiene el año académico y cuánto duran?,"dos, de 19 semanas cada uno","Art. 16, RG","DATO: Dos períodos lectivos ordinarios de diecinueve semanas cada uno
CITA: [Art. 16, RG]",5.14
10,factual,¿Los estudiantes de Primer Año Común pueden convalidar asignaturas?,No,"Art. 22, RI-FI","DATO: No
CITA: [Art. 22°, RI-FI]",4.21
11,numerica,¿Cuál es el mínimo de créditos que debo inscribir por período lectivo ordinario en Ingeniería?,8 créditos (igual o superior a 8),"Art. 8, RI-FI","DATO: ocho
CITA: [Art. 8°, RI-FI]",4.9
12,numerica,¿Con menos de cuántos créditos aprobados al término del segundo semestre quedo en baja académica?,menos de 15 créditos,"Art. 14 a), RI-FI","DATO: 15
CITA: [Art. 14°, RI-FI]",5.24
13,numerica,¿Bajo qué promedio de créditos aprobados por semestre (desde el 4º) se cae en baja académica?,inferior a 10 créditos semestrales,"Art. 14 b), RI-FI","DATO: inferior a diez créditos semestrales
CITA: [Art. 14°, RI-FI]",5.76
14,numerica,¿Cuál es la asistencia mínima máxima que un profesor puede exigir en clases teóricas y prácticas?,80%,"Art. 13, RI-FI","DATO: 80%
CITA: [Art. 13°, RI-FI]",4.65
15,numerica,¿Qué calificación mínima se exige para convalidar una asignatura?,"4,5","Art. 21, RI-FI","DATO: 4,5
CITA: [Art. 21°, RI-FI]",4.62
16,numerica,"¿Durante cuántas semanas iniciales se puede solicitar convalidación, revalidación o reconocimiento?",las 4 primeras semanas,"Art. 22, RI-FI","DATO: cuatro
CITA: [Art. 22°, RI-FI]",4.83
17,numerica,¿Dentro de cuántos días se puede solicitar el reconocimiento de asignaturas?,los primeros 30 días,"Art. 23, RI-FI","DATO: Treinta días
CITA: [Art. 38°, RG] y [Art. 23°, RI-FI]",5.28
18,numerica,"Si suspendí más de 3 años y solo me faltaba la Memoria, ¿cuántos créditos adicionales máximo debo cursar?",un máximo de 36 créditos,"Art. 31, RI-FI","DATO: 36
CITA: [Art. 31°, RI-FI]",5.59
19,numerica,¿Cuántas semanas dura cada período lectivo ordinario (semestre)?,19 semanas,"Art. 16, RG","DATO: Diecinueve
CITA: [Art. 16, RG]",5.24
20,numerica,¿Cuál es el plazo (en días hábiles) para regularizar una evaluación no rendida por causa justificada?,3 días hábiles,"Art. 26, RG","DATO: tres días hábiles
CITA: [Art. 26, RG]",5.36
21,condicional,"Si vengo de otra universidad y quiero ingresar a Ingeniería, ¿qué promedio necesito? ¿Y para cambio dentro de Ingeniería?","4,5 desde otra universidad/facultad; 4,2 para cambio dentro de Ingeniería","Art. 17 y Art. 18, RI-FI","DATO: Para ingresar a la Facultad de Ingeniería desde otra universidad se necesita un promedio ponderado mínimo de 4,5 en la escala de 1 a 7, mientras que para cambiar dentro de la Facultad se necesita un promedio ponderado mínimo de 4,2 en la escala de 1 a 7.
CITA: [Art. 17°, RI-FI] y [Art. 18°, RI-FI]",10.37
22,condicional,¿Qué promedio mínimo se exige para cursar una segunda carrera de forma simultánea?,"5,0","Art. 19, RI-FI","DATO: 5,0 en la escala de 1 a 7
CITA: [Art. 19°, RI-FI]",6.87
23,condicional,¿En qué caso NO se puede revalidar una asignatura?,si fue previamente cursada y reprobada,"Art. 20, RI-FI","DATO: No se podrá revalidar una asignatura que haya sido previamente cursada y reprobada en el Plan de Estudio.
CITA: [Art. 20°, RI-FI]",5.67
24,condicional,"Si repruebo por segunda vez una misma asignatura obligatoria, ¿qué ocurre?","baja académica, salvo que la haya aprobado en el PLEV o esté en primer año","Art. 14 c), RI-FI","DATO: La y el estudiante perderá el derecho a continuar estudios y la calidad de alumno regular, quedando en situación de Baja Académica.
CITA: [Art. 14°, RI-FI]",6.9
25,condicional,"Al modificar la inscripción, ¿qué asignaturas NO puedo eliminar?",las atrasadas y las obligatorias reprobadas (prioridades a y b del Art. 7),"Art. 9, RI-FI","DATO: Las asignaturas correspondientes a las prioridades a) y b) del
CITA: [Art. 9°, RI-FI]",5.3
26,condicional,"Si suspendí mis estudios, ¿qué debo hacer para volver?",solicitar la reincorporación a la Vicedecanatura,"Art. 27, RI-FI","DATO: Deberá solicitar su reincorporación al Vicedecano.
CITA: [Art. 27°, RI-FI]",5.51
27,condicional,¿Qué documentos requiere la solicitud de suspensión de estudios?,certificado de la DAFE (sin deudas) y de la Dirección de Bibliotecas,"Art. 25, RI-FI","DATO: a) Certificado de la División de Asistencia Financiera al Estudiante en que conste que el alumno no tiene deudas con la universidad por concepto de aranceles y préstamos o que el pago de dichas deudas ha sido debidamente garantizado; y b) Certificado de la Dirección de Bibliotecas en que conste que no adeuda material bibliográfico.
CITA: [Art. 25°, RI-FI]",10.1
28,condicional,"Si estando habilitado no inscribo asignaturas en el período, ¿qué pasa?",pierdo el derecho a continuar y la calidad de alumno (Baja por no Inscripción),"Art. 29, RG","DATO: Perderá el derecho a continuar estudios como también la calidad de alumno de pregrado de la Universidad de Concepción, a menos que en el periodo lectivo anterior hayan inscrito una u más asignaturas anuales.
CITA: Art. 29°, RG",7.35
29,condicional,"Si no me presento a una evaluación por causa justificada, ¿qué puedo hacer?",solicitar regularizar en un máximo de 3 días hábiles,"Art. 26, RG","DATO: Solicitar al profesor encargado de la asignatura regularizar su situación en un plazo máximo de tres días hábiles posteriores a la aplicación de la evaluación, para lo cual deberá presentar los documentos que justifiquen su inasistencia.
CITA: [Art. 26, RG]",8.78
30,condicional,"¿Cuánta asistencia puede exigir un profesor en un laboratorio, taller o salida a terreno?",hasta un 100%,"Art. 13, RI-FI","DATO: 100%
CITA: [Art. 13°, RI-FI]",4.72
31,cruce,"Si el Reglamento Interno de Ingeniería contradice al Reglamento General de Docencia, ¿cuál prevalece?",prevalece el Reglamento General (y las Normas de Ingreso),"Art. 34, RI-FI","DATO: El Reglamento General de Docencia de Pregrado y las Normas de Ingreso a las Carreras de Pregrado prevalecen sobre el presente Reglamento Interno de Docencia de Pregrado.
CITA: [Art. 34°, RI-FI]",6.9
32,cruce,Quiero modificar las asignaturas inscritas este segundo semestre 2026. ¿Hasta qué fecha?,hasta el 04 de septiembre de 2026,"CAL 2º sem 2026 (Art. 9, RI-FI)","DATO: 04 de septiembre
CITA: [Calendario 2026, Segundo Semestre 2026]",3.56
33,cruce,¿Hasta qué fecha se pueden modificar asignaturas en el primer semestre 2026?,hasta el 02 de abril de 2026,"CAL 1er sem 2026 (Art. 9, RI-FI)","DATO: 02 de abril
CITA: [Calendario 2026, Primer Semestre 2026]",3.36
34,cruce,¿Tengo derecho a suspender estudios y hasta cuándo puedo hacerlo?,"sí; dentro de los plazos del calendario, a más tardar 4 semanas antes del término",Art. 25 RI-FI + Art. 31 RG,"DATO: Los alumnos de pregrado podrán solicitar suspender estudios hasta cuatro semanas antes del término del periodo lectivo respectivo.
CITA: [Art. 31, RG]",6.83
35,cruce,¿Cuándo inician las clases del segundo semestre 2026?,10 de agosto de 2026,CAL 2º sem 2026,"DATO: 10 de agosto
CITA: [Calendario 2026, Segundo Semestre 2026]: Inicio de Clases — 10 de agosto",4.06
36,cruce,¿En qué fechas se inscriben las asignaturas del segundo semestre 2026 y cuál es el mínimo de créditos?,inscripción 03–07 de agosto de 2026; mínimo 8 créditos,"CAL 2º sem 2026 + Art. 8, RI-FI","DATO: [Calendario 2026, Segundo Semestre 2026]: Inscripción de Asignaturas — 03 – 07 de agosto
CITA: [Calendario 2026, Segundo Semestre 2026]",5.69
37,cruce,¿Cuándo termina el segundo semestre 2026 (término de clases)?,11 de diciembre de 2026,CAL 2º sem 2026,"DATO: 11 de diciembre
CITA: [Calendario 2026, Segundo Semestre 2026]: Término de Clases — 11 de diciembre",4.39
38,cruce,"La escala de notas del Reglamento General, ¿se aplica en Ingeniería, y cuál es la nota de aprobación?","sí, escala 1 a 7 (Art. 23, RG); se aprueba con 4,0 (Art. 11, RI-FI)",Art. 23 RG + Art. 11 RI-FI,"DATO: Sí, se aplica en Ingeniería. La nota de aprobación es 4,0 (cuatro coma cero).
CITA: [Art. 23, RG]",11.4
39,cruce,¿Cuándo son las Evaluaciones de Recuperación del segundo semestre 2026?,14–23 de diciembre de 2026,CAL 2º sem 2026 (Art. 12 RI-FI),"DATO: 14 – 23 de diciembre
CITA: [Calendario 2026, Segundo Semestre 2026]",3.72
40,cruce,¿Qué reglamento rige la Memoria de Título y cuánto pondera en la nota de titulación?,la rige el Reglamento de Memoria de Título de la FI (Art. 29); pondera un 40% (Art. 30),"Art. 29 y Art. 30, RI-FI","DATO: El Reglamento de Memoria de Título de la Facultad de Ingeniería rige la Memoria de Título y pesa un 40% en la nota de titulación.
CITA: [Art. 29°, RI-FI]",8.21
41,abstencion,¿Qué establece el Artículo 90 del Reglamento Interno de Docencia de Pregrado de Ingeniería?,"El artículo no existe: el RI-FI tiene solo 35 artículos -> debe indicarlo, no inventar",dato inexistente (RI-FI llega al Art. 35),"DATO: No está en la normativa  
CITA: Ninguna",4.19
42,abstencion,¿Qué requisitos fija el Artículo 36 del Reglamento Interno de Docencia de Pregrado de Ingeniería?,El artículo no existe: el reglamento termina en el Art. 35 -> debe indicarlo,dato inexistente (RI-FI llega al Art. 35),"DATO: No está en la normativa
CITA: Ninguna",4.47
43,abstencion,¿Qué dispone el Artículo 100 del Reglamento General de Docencia de Pregrado?,El artículo no existe: el RG llega hasta el Art. 60 -> debe indicarlo,dato inexistente (RG llega al Art. 60),"DATO: No está en la normativa  
CITA: Ninguna",4.72
